"NamespacePrefix","NamespaceFile","VersionURI","VersionReleaseNumber","NamespaceStyle","NamespaceIsExternallyGenerated","IsConformant","Definition"
"sld","",,"1.0","N",1,0,"Adaptation of Styled Layer Descriptor schemas for niem to import the current 1.1 version of the filter schema. Adaptation of Styled Layer Descriptor schemas for niem to work with current version of the filter schema. Schema that contains the definitions from the OGC schema documents common.xsd, Symbol.xsd, FeatureStyle.xsd, and StyledLayerDescriptor.xsd.   Imported by context4niem.xsd and re-imported here.  See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/sld/ for schemas."
"swe","",,"1.0","N",1,0,"Sensor Web Enablement (SWE) schema for NIEM to support Observations and Measurements.  Sensor Web Enablement (SWE) schema for NIEM to support Observations and Measurements.  See http://www.opengeospatial.org for documentation and schemas"
"twpdes","twpdes","http://niem.gov/niem/twpdes/2.0","2.0","E",0,1,"Terrorist Watchlist Person Data Exchange Standard"
"ucr","ucr","http://niem.gov/niem/ucr/2.0","2.0","E",0,1,"Crime reporting codes from Uniform Crime Reporting."
"unece","unece_rec20-misc","http://niem.gov/niem/unece_rec20-misc/2.0","2.0","E",0,1,"Miscellaneous unit of measure codes from the United Nations Economic Commission for Europe Recommendation No. 20, Codes for Units of Measure used in International Trade."
"usps","usps_states","http://niem.gov/niem/usps_states/2.0","2.0","E",0,1,"U.S. state and possession abbreviations from the U.S. Postal Service (USPS)."
"ut_offender","ut_offender-tracking-misc","http://niem.gov/niem/ut_offender-tracking-misc/2.0","2.0","E",0,1,"Plea and military discharge codes from the Utah Offender Tracking Database, version 2.03."
"xhtml","","http://www.w3.org/1999/xhtml","1.0","S",1,1,"The Extensible HyperText Markup Language, a family of current and future document types and modules that reproduce, subset, and extend HTML 4."
"xlink","",,"1.0","N",1,0,"Definition of XML hyperlinks. See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/xlink/ for schemas."
"xls","",,"1.0","N",1,0,"A profile of OpenGeospatialConsortium (OpenGIS, OGC) OpenLS (Location Services) version 1.1 schemas. A profile of OpenGeospatialConsortium (OpenGIS, OGC) OpenLS (Location Services) version 1.1 schemas that have been edited to use GML version 3.1.1 schemas instead of the GML version 3.0 schemas that were current when OpenLS version 1.1 was promulgated.  See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/ols/ for schemas."
"xsd","","http://www.w3.org/2001/XMLSchema","1.0","S",1,1,"The XML Schema definition language, which offers facilities for describing the structure and constraining the contents of XML documents."
